ticker,sector,history_from,med_adv_$m,worst_adv_$m,last_close,has_history,passes
NVDA,Tech,2016-08-31,30691.376179211427,8031.135711860657,219.5301055908203,True,True
TSLA,ConsDisc,2016-08-31,24776.908351593018,7038.012682100159,363.67999267578125,True,True
MU,Tech,2016-08-31,15644.893028442382,1631.6947582313537,945.1201171875,True,True
AAPL,Tech,2016-08-31,12587.501466004944,2468.969070480896,315.07501220703125,True,True
MSFT,Tech,2016-08-31,12377.146140014649,2492.620629296875,509.70001220703125,True,True
AMD,Tech,2016-08-31,10149.1456,1711.0302185791015,468.7850036621094,True,True
AMZN,ConsDisc,2016-08-31,9934.904702424621,2357.297243458984,260.1400146484375,True,True
GOOGL,Comm,2016-08-31,9375.6102571167,1899.9324965368653,337.6300048828125,True,True
META,Comm,2016-08-31,9010.503340063477,1718.8776685600585,570.27001953125,True,True
AVGO,Tech,2016-08-31,8043.767171520996,1487.043906631714,368.1600036621094,True,True
INTC,Tech,2016-08-31,5978.698195439911,1030.0531505084991,89.79000091552734,True,True
ORCL,Tech,2016-08-31,4522.221988189697,527.0382071532746,149.0800018310547,True,True
NFLX,Comm,2016-08-31,3425.202580747986,350.53829800284575,81.12999725341797,True,True
LLY,Health,2016-08-31,2968.069008282471,663.9209386096192,1154.614990234375,True,True
JPM,Fin,2016-08-31,2601.272818640137,414.65409958795163,355.9549865722656,True,True
UNH,Health,2016-08-31,2474.408846270752,180.46266226074218,391.3301086425781,True,True
AMAT,Tech,2016-08-31,2433.846726965332,333.66800843811035,457.0,True,True
WMT,ConsStap,2016-08-31,2287.2640844078064,673.7036710790634,104.37000274658203,True,True
V,Fin,2016-08-31,2239.3375178466795,296.53453794570925,381.9200134277344,True,True
CRM,Tech,2016-08-31,2206.055865637207,550.8389362792968,259.0299987792969,True,True
XOM,Energy,2016-08-31,2185.5135702667235,556.0362166876221,159.94000244140625,True,True
COST,ConsStap,2016-08-31,2033.425975,207.48553741186524,946.010009765625,True,True
NOW,Tech,2016-08-31,1866.4537072143555,594.6126977294922,145.84500122070312,True,True
CAT,Indu,2016-08-31,1852.9252038085938,398.66239974646,790.7050170898438,True,True
GS,Fin,2016-08-31,1833.0146975097657,206.12552403222656,1024.97998046875,True,True
BAC,Fin,2016-08-31,1820.086275,306.5090200097656,62.119998931884766,True,True
JNJ,Health,2016-08-31,1733.869402444458,296.46259946899414,266.7349853515625,True,True
MA,Fin,2016-08-31,1688.1365512390137,214.93837201611328,594.9949951171875,True,True
CSCO,Tech,2016-08-31,1642.3529701187133,258.42753016562654,110.12000274658203,True,True
CVX,Energy,2016-08-31,1554.2962369445802,335.2538,205.86000061035156,True,True
QCOM,Tech,2016-08-31,1531.383630267334,287.54908802948,169.16000366210938,True,True
TXN,Tech,2016-08-31,1507.74963825531,130.6299199734192,261.2749938964844,True,True
BA,Indu,2016-08-31,1428.9099260025025,217.90984674908447,206.9600067138672,True,True
C,Fin,2016-08-31,1410.9385493804932,147.18477551179504,131.64500427246094,True,True
HD,ConsDisc,2016-08-31,1386.5733,161.4442912614746,328.73480224609375,True,True
GE,Indu,2016-08-31,1385.7223100891113,190.9668920053711,335.739990234375,True,True
IBM,Tech,2016-08-31,1366.5846645080567,188.95794475494384,234.5800018310547,True,True
PG,ConsStap,2016-08-31,1310.9167128295899,189.8061799926758,144.58999633789062,True,True
ADBE,Tech,2016-08-31,1305.3075256347656,164.64073658514405,290.5899963378906,True,True
INTU,Tech,2016-08-31,1276.154089718628,225.46070870971678,358.80499267578125,True,True
ABBV,Health,2016-08-31,1256.8392787078858,146.5939969547119,256.2850036621094,True,True
BKNG,ConsDisc,2016-08-31,1243.4259102630615,157.85134301641847,201.47000122070312,True,True
WFC,Fin,2016-08-31,1224.624603765869,238.6492615,86.5,True,True
KO,ConsStap,2016-08-31,1178.424204296112,199.55047286607362,89.29000091552734,True,True
MRK,Health,2016-08-31,1140.2649448249817,159.83544207815552,147.96029663085938,True,True
VZ,Comm,2016-08-31,1104.1204505867004,96.36927434877015,50.165000915527344,True,True
PFE,Health,2016-08-31,1096.1132365226745,218.1590027909088,28.235000610351562,True,True
LIN,Materials,2016-08-31,1067.1743354187013,104.88271130914306,490.70001220703125,True,True
PEP,ConsStap,2016-08-31,1058.5548133148193,155.4001971362915,140.19000244140625,True,True
ACN,Tech,2016-08-31,1042.5287822448731,121.3550571546936,190.14999389648438,True,True
TMO,Health,2016-08-31,1036.5548089599608,137.88345974853516,615.260009765625,True,True
T,Comm,2016-08-31,1032.8038126783372,167.35934024846267,26.049999237060547,True,True
MCD,ConsDisc,2016-08-31,1030.1345,249.99676,265.0,True,True
MS,Fin,2016-08-31,1008.6908721130371,87.40765093841553,213.05999755859375,True,True
TMUS,Comm,2016-08-31,1001.9923797897338,80.41945922790528,181.6649932861328,True,True
DIS,Comm,2016-08-31,983.3666433792114,120.17810182312012,107.54000091552734,True,True
AXP,Fin,2016-08-31,940.6825361572265,119.96087950897217,331.31500244140625,True,True
ABT,Health,2016-08-31,913.2920727813721,146.7101264177475,110.6050033569336,True,True
NKE,ConsDisc,2016-08-31,912.2963192230225,225.87977226186752,39.2400016784668,True,True
RTX,Indu,2016-08-31,905.4560992675781,83.54436016744995,208.99099731445312,True,True
HON,Indu,2016-08-31,866.6058714869995,91.63553650799561,213.8000030517578,True,True
PM,ConsStap,2016-08-31,856.6884,98.2378865800476,189.14999389648438,True,True
AMGN,Health,2016-08-31,855.4047538360596,123.8732261055603,431.3450012207031,True,True
SCHW,Fin,2016-08-31,844.1666997070313,75.52320213002014,109.77799987792969,True,True
NEE,Utilities,2016-08-31,817.8080156730651,140.98274452664947,81.9000015258789,True,True
SPGI,Fin,2016-08-31,814.8824226159668,117.91952432714844,436.9849853515625,True,True
CMCSA,Comm,2016-08-31,797.6253877639771,67.87921767900849,26.69499969482422,True,True
DHR,Health,2016-08-31,785.7634613769532,159.010246588089,214.2899932861328,True,True
COP,Energy,2016-08-31,761.7800540863037,137.29910223175048,132.35000610351562,True,True
TJX,ConsDisc,2016-08-31,759.6130158996582,177.79493857287596,133.52499389648438,True,True
UNP,Indu,2016-08-31,752.6223,97.71086103030396,303.2699890136719,True,True
SBUX,ConsDisc,2016-08-31,727.4641374549866,83.99962619762421,106.5999984741211,True,True
BLK,Fin,2016-08-31,709.2026124511718,138.25987329858398,1155.4200439453125,True,True
DE,Indu,2016-08-31,667.4996203613281,158.26995435314942,651.4400024414062,True,True
SLB,Energy,2016-08-31,654.7728886276245,111.19894557495117,58.775001525878906,True,True
BMY,Health,2016-08-31,644.486073633957,61.355241288742064,66.48999786376953,True,True
LOW,ConsDisc,2016-08-31,640.6795484161377,85.71636232244873,206.15499877929688,True,True
SHW,Materials,2016-08-31,609.3740513549805,58.46902809936523,340.1300048828125,True,True
UPS,Indu,2016-08-31,559.2386117744446,50.28044029645538,104.13500213623047,True,True
AMT,RealEstate,2016-08-31,539.0687126129151,38.299985834106444,174.67999267578125,True,False
MDLZ,ConsStap,2016-08-31,514.4738658905029,76.21601717529298,62.220001220703125,True,True
SO,Utilities,2016-08-31,484.36755477905274,76.69052686721801,87.72000122070312,True,True
PLD,RealEstate,2016-08-31,430.3206087799072,29.841559713363647,139.85499572753906,True,False
DUK,Utilities,2016-08-31,424.91673364944455,101.94321711773682,119.83000183105469,True,True
